,Название,Район,Адрес,Метро,Телефон,Вконтакте,Инстаграм
165,Sunskrit,Nevsky,"Ивановская ул., 17",Ломоносовская,+7 (931) 230-65-00,Не указано,https://www.instagram.com/sunskrit_spb
166,Подымим Легенда,Nevsky,"Дальневосточный просп., 12, корп. 2",Проспект Большевиков,+7 (995) 600-66-96,Не указано,https://instagram.com/pdspb
167,Турка Лаунж,Nevsky,"Дальневосточный просп., 12, корп. 2",Проспект Большевиков,+7 (911) 150-00-40,https://vk.com/turka_bolshevikov,https://www.instagram.com/turka_bolshevikov
168,Dark lounge,Nevsky,"Русановская ул., 19, корп. 3",Не указано,+7 (981) 807-35-92,Не указано,https://instagram.com/dark1ounge
169,В Тени,Nevsky,"ул. Коллонтай, 5/1",Проспект Большевиков,+7 (911) 988-72-20,https://vk.com/vtenispb,https://www.instagram.com/vtenispb
170,Tangiers Lounge Vostok,Nevsky,"Дальневосточный просп., 12, корп. 2",Проспект Большевиков,+7 (981) 857-33-67,https://vk.com/tangierslounge,https://instagram.com/tangierslounge.vostok
171,RiverSide,Nevsky,"просп. Пятилеток, 13, корп. 1",Проспект Большевиков,+7 (921) 599-98-97,https://vk.com/riverside_hookah,https://www.instagram.com/riverside.lounge
172,Веранда,Nevsky,"Столичная ул., 1, Кудрово",Улица Дыбенко,+7 (981) 764-20-76,http://vk.com/veranda.kudrovo,https://www.instagram.com/verandakudrovo
173,Feromon 5 uglov,Nevsky,"ул. Ломоносова, 18, Центральный район",Достоевская,+7 (812) 907-07-95,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
174,BAHROMA,Nevsky,"просп. Большевиков, 7, корп. 2",Проспект Большевиков,+7 (812) 207-58-87,https://vk.com/club_bahroma,https://www.instagram.com/bahroma_ru/
175,Hoocar Европейский Хукар,Nevsky,"Европейский просп., 21, корп. 2, Кудрово",Улица Дыбенко,8 (800) 301-10-24,https://vk.com/hoocarspb/,https://www.instagram.com/hoocar.spb/
176,Mafia Lounge,Nevsky,"Английская ул., 2, Кудрово",Улица Дыбенко,+7 (911) 914-57-56,https://vk.com/mafia_kudrovo,https://www.instagram.com/mafia_kudrovo/
177,Park. Lounge Bar,Nevsky,"Австрийская ул., 4, корп. 1, Кудрово",Улица Дыбенко,+7 (962) 692-66-99,https://vk.com/public180603725,https://www.instagram.com/park.lounge_bar/
178,Leet,Nevsky,"Промышленная ул., 6",Нарвская,+7 (953) 377-77-46,https://vk.com/weareleet,https://www.instagram.com/weare1337leet
179,Autosmoke,Nevsky,"пер. Ногина, 3",Елизаровская,+7 (921) 760-48-75,https://vk.com/autosmokelounge,https://instagram.com/_autosmoke_
180,Aura,Nevsky,"Венская ул., 4, корп. 1, Кудрово",Улица Дыбенко,+7 (981) 151-35-59,Не указано,https://www.instagram.com/aura_loungebar
181,ТОКИО-CITY,Kirovsky,"площадь Стачек, 9",Нарвская,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
182,ТОКИО-CITY,Kirovsky,"просп. Стачек, 46",Кировский завод,+7 (812) 334-36-28,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
183,ТОКИО-CITY,Kirovsky,"Дачный просп., 18",Проспект Ветеранов,+7 (812) 612-75-06,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
184,ТОКИО-CITY,Kirovsky,"просп. Ветеранов, 114, корп. 1",Проспект Ветеранов,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
185,Sova 2.0,Kirovsky,"просп. Стачек, 72",Кировский завод,+7 (981) 791-77-77,https://vk.com/sova2_0_extralounge,Не указано
186,Leet,Kirovsky,"Промышленная ул., 6",Нарвская,+7 (953) 377-77-46,https://vk.com/weareleet,https://www.instagram.com/weare1337leet
187,Галактика,Kirovsky,"ул. Маршала Казакова, 1, корп. 1Г",Автово,+7 (911) 775-83-64,https://vk.com/lbgalaktika,https://www.instagram.com/LOUNGEBARGALAKTIKA
188,Le Smoke,Kirovsky,"просп. Народного Ополчения, 10",Ленинский проспект,+7 (921) 433-70-40,https://vk.com/le_smoke,https://www.instagram.com/le_smoke
189,Galaxy-Games,Kirovsky,"ул. Маршала Казакова, 26",Проспект Ветеранов,+7 (958) 177-44-55,https://vk.com/spb_galaxy,http://instagram.com/spb_galaxy
190,Smoke Box,Kirovsky,"просп. Стачек, 69",Автово,+7 (904) 336-74-54,https://vk.com/smokeboxavtovo,https://www.instagram.com/smokebox_hookah
191,Eden Lounge Bar,Kirovsky,"Ленинский просп., 121, корп. 7",Ленинский проспект,+7 (931) 259-00-94,Не указано,https://www.instagram.com/baredenlounge/
192,ФриДым,Kirovsky,"ул. Победы, 21, Московский район",Парк Победы,+7 (923) 888-47-85,Не указано,http://www.instagram.com/freedymofficial
193,Lounge-bar Smoke Palace,Kirovsky,"Автовская ул., 35",Кировский завод,+7 (981) 127-07-06,http://vk.com/smokepalace,https://www.instagram.com/smokepalacespb
194,Фишка,Kirovsky,"просп. Стачек, 72",Кировский завод,+7 (911) 027-87-87,https://vk.com/fishkaghc,https://instagram.com/fishkagamelounge?igshid=1hg5ozdbqygmj
195,Malina,Kirovsky,"Петергофское ш., 3, корп. 2",Проспект Ветеранов,+7 (952) 362-17-88,https://vk.com/malina_timecafe,https://instagram.com/malina_timecafe
196,Дракон,Kirovsky,"ул. Маршала Казакова, 29, корп. 2",Проспект Ветеранов,+7 (981) 704-57-59,http://www.vk.com/lounge_dragon,Не указано
197,Tangiers Lounge Pearl,Kirovsky,"ул. Катерников, 8",Не указано,+7 (911) 714-16-11,https://vk.com/tangierslounge,https://www.instagram.com/tangierslounge.pearl/
198,SmokeTime,Kirovsky,"Брестский бул., 8",Проспект Ветеранов,+7 (911) 777-31-00,http://vk.com/smoketime_cafe,Не указано
199,Любимый Хабиб,Kirovsky,"просп. Стачек, 30",Кировский завод,+7 (812) 252-11-89,https://vk.com/habibcafe,https://www.instagram.com/habibcafe
200,Безумный Лесник,Kirovsky,"Ленинский просп., 140",Ленинский проспект,+7 (812) 907-34-93,https://vk.com/bezumniy_lesnik2,https://www.instagram.com/bezumniy_lesnik
201,Cosa Nostra,Kirovsky,"Промышленная ул., 6",Нарвская,+7 (911) 926-60-10,https://vk.com/cosanostra.narvskiy,https://www.instagram.com/cosanostra.narvskiy/
202,Leet Lounge,Kirovsky,"Промышленная ул., 6",Нарвская,+7 (953) 377-77-46,Не указано,http://instagram.com/leet_lounge/
203,Red 2 Lounge,Kirovsky,"Варшавская ул., 6, корп. 1",Электросила,+7 (923) 888-49-84,https://vk.com/red2lounge,https://www.instagram.com/red2lounge/
204,Гильдия,Kirovsky,"Россия, Санкт-Петербург, набережная Обводного канала, 120",Балтийская,+7 (812) 436-31-32,https://vk.com/club801401,Не указано
205,Cartel,Kirovsky,"ул. Шкапина, 9-11",Балтийская,+7 (921) 906-47-90,Не указано,https://www.instagram.com/cartel_loungespb
206,Boroda Brothers,Primorsky,"Яхтенная ул., 3, корп. 1",Беговая,+7 (921) 913-56-40,https://vk.com/borodabrothers,https://www.instagram.com/boroda_brothers/
207,Loft 45,Primorsky,"ул. Оптиков, 45, корп. 1",Беговая,+7 (911) 920-88-45,Не указано,https://www.instagram.com/loft.45
208,SmokeSpot WestSide,Primorsky,"Приморский просп., 137, корп. 2",Беговая,+7 (812) 292-39-23,https://vk.com/smokespot,https://www.instagram.com/smokespot_westside
209,Feromon Optikov,Primorsky,"ул. Оптиков, 45, корп. 1",Беговая,+7 (921) 965-00-97,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
210,Эйфория,Primorsky,"ул. Оптиков, 34, корп. 1",Беговая,+7 (812) 922-24-13,https://vk.com/euphoria_lounge,https://www.instagram.com/lounge_euphoria
211,Журавли,Primorsky,"Яхтенная ул., 24, корп. 2",Беговая,+7 (911) 798-28-78,https://vk.com/7giraffes,Не указано
212,Точка Сборки,Primorsky,"Туристская ул., 23, корп. 2",Беговая,+7 (923) 888-49-06,https://vk.com/to4kasborkispb,https://www.instagram.com/tochka.sborki.spb/
213,Pablo Hookahbar,Primorsky,"ул. Савушкина, 121, корп. 2",Беговая,+7 (812) 923-12-10,http://vk.com/phbar,https://www.instagram.com/pablohookahbar
214,Мир кальянов,Primorsky,"Гаккелевская ул., 34",Комендантский проспект,+7 (812) 985-00-18,https://vk.com/kalyanovmir,https://www.instagram.com/alkalyans
215,Мир кальянов,Primorsky,"ул. Савушкина, 143, корп. 1",Беговая,+7 (812) 985-01-65,https://vk.com/kalyanovmir,https://www.instagram.com/alkalyans
216,Гастропаб Коза Дереза Море,Primorsky,"Россия, Санкт-Петербург, Приморский проспект, 72",Беговая,+7 (812) 456-80-80,https://vk.com/kozaderezapub,https://www.instagram.com/kozaderezapub/
217,Feromon Komenda,Primorsky,"просп. Испытателей, 37",Комендантский проспект,+7 (812) 944-00-98,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
218,BAHROMA,Primorsky,"ул. Савушкина, 141",Беговая,+7 (812) 677-64-30,https://vk.com/club_bahroma,https://www.instagram.com/bahroma_ru/
219,Maximilian,Primorsky,"ул. Савушкина, 141",Беговая,+7 (812) 938-88-93,http://vk.com/maximilian_brauhaus,http://instagram.com/maximilian_brauhaus
220,Клубный ресторан Vsёхорошо!,Primorsky,"Богатырский просп., 35, корп. 1",Комендантский проспект,+7 (812) 424-38-38,https://vk.com/barhorosho,https://www.instagram.com/vsehoroshogroup
221,Экслибрис,Primorsky,"ул. Савушкина, 17",Чёрная речка,+7 (921) 652-81-68,http://vk.com/exlibris_hl,Не указано
222,Alta Marea,Primorsky,"Приморский просп., 72",Беговая,+7 (812) 313-33-55,https://vk.com/altamarea,https://www.instagram.com/altamarearest/
223,Collage,Petrogradsky,"Большая Разночинная ул., 7",Чкаловская,+7 (911) 922-20-97,https://vk.com/collage,http://instagram.com/collagelounge
224,Nuahule Smoke,Petrogradsky,"Большая Разночинная ул., 17",Чкаловская,+7 (812) 967-85-44,Не указано,http://instagram.com/nuahule_smoke_spb
225,Hookah Box Aviator,Petrogradsky,"Большая Пушкарская ул., 30",Чкаловская,+7 (981) 831-57-31,https://vk.com/hookahboxspb,https://www.instagram.com/hookah.box_aviator/
226,BALCON,Petrogradsky,"Большой просп. Петроградской стороны, 84",Петроградская,+7 (812) 565-06-65,https://vk.com/balcon_loungebar,https://www.instagram.com/balconlounge_bar/
227,Cherish,Petrogradsky,"Малая Посадская ул., 3",Горьковская,+7 (999) 025-96-51,https://vk.com/cherishlounge,https://www.instagram.com/cherish_lounge/
228,Ресторан Unity_Petrogradka,Petrogradsky,"наб. реки Карповки, 5, корп. 17",Петроградская,+7 (999) 022-26-45,http://vk.com/loungezoneunity,https://www.instagram.com/unity_petrogradka/
229,ТОКИО-CITY,Petrogradsky,"Большой просп. Петроградской стороны, 30",Чкаловская,+7 (812) 245-23-01,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
230,Tangiers Lounge Leo,Petrogradsky,"Ждановская ул., 45",Чкаловская,+7 (911) 969-07-73,https://vk.com/tangierslounge,https://www.instagram.com/tangierslounge.leo
231,Тайм-кафе Smoke Inn,Petrogradsky,"ул. Рентгена, 4",Петроградская,+7 (921) 993-84-77,https://vk.com/smokeinnspb,https://www.instagram.com/smoke_inn_spb/
232,Cyberx Community,Petrogradsky,"просп. Медиков, 10, корп. 1",Петроградская,+7 (812) 688-73-72,Не указано,https://www.instagram.com/cyberx.spb/
233,Mundshtuk,Petrogradsky,"Большая Зеленина ул., 24",Чкаловская,+7 (984) 888-52-47,Не указано,https://www.instagram.com/mundshtuuk.zelenina/
234,Cloudy Bay Lounge,Petrogradsky,"ул. Кропоткина, 15",Горьковская,+7 (812) 943-16-04,https://vk.com/cloudybaylounge,https://www.instagram.com/cloudybaylounge
235,Кальянный бар Hookah Craft,Petrogradsky,"Шамшева ул., 15Б",Чкаловская,+7 (999) 031-76-81,https://vk.com/thehookahcraft,https://www.instagram.com/the_hookah_craft
236,Кайфуй,Petrogradsky,"Кронверкский просп., 53",Горьковская,+7 (965) 770-66-00,http://vk.com/kaiffooi_spb,http://instagram.com/kaiffooi_spb
237,Continental Lounge Bar,Petrogradsky,"Корпусная ул., 3",Чкаловская,+7 (952) 278-22-27,Не указано,https://www.instagram.com/continental_lounge.bar
238,Oblivion,Petrogradsky,"ул. Ленина, 16/42",Петроградская,+7 (911) 920-26-47,http://vk.com/oblivionbarspb,Не указано
239,Offline,Petrogradsky,"Саблинская ул., 3",Чкаловская,+7 (965) 007-17-00,https://vk.com/offlineloungebar,https://instagram.com/offline_lounge_bar
240,ТУ Би,Petrogradsky,"ул. Всеволода Вишневского, 12АД",Петроградская,+7 (812) 940-10-56,Не указано,https://instagram.com/to.be.bar?igshid=114mun51vjc5o
241,Hookah Box Aviator,Petrogradsky,"Большая Пушкарская ул., 30",Чкаловская,+7 (981) 831-57-31,Не указано,http://instagram.com/usahookahshop
242,Paros Lounge,Petrogradsky,"Кронверкская ул., 8",Горьковская,+7 (981) 737-80-81,https://vk.com/paros.lounge,https://www.instagram.com/paros.lounge/
243,Factum Club,Petrogradsky,"Большой просп. Петроградской стороны, 79",Петроградская,+7 (965) 777-74-24,http://vk.com/factumclub,http://www.instagram.com/factumclub
244,The Office,Petrogradsky,"Петропавловская ул., 8",Петроградская,+7 (812) 915-60-77,https://vk.com/club51317495,https://www.instagram.com/arabica.lounge/
245,Capuletti,Petrogradsky,"Большой просп. Петроградской стороны, 74",Петроградская,+7 (812) 232-22-82,http://vk.com/capuletti,http://instagram.com/ginzaprojectspb
246,Ресторан Стоп! Снято!,Petrogradsky,"Каменноостровский просп., 12",Горьковская,+7 (812) 914-70-70,Не указано,https://www.instagram.com/stopsnyato.rest
247,На Высоте,Petrogradsky,"ул. Котовского, 4/39В",Горьковская,+7 (812) 967-70-65,https://vk.com/spbnavysote,https://www.instagram.com/spbnavysote/
248,Smoke IT,Kolpinsky,"Финляндская ул., 13, корп. 3",Не указано,+7 (812) 925-51-23,http://vk.com/smokeit_klp,http://instagram.com/smokeit_klp
249,Kaloud 18+,Kolpinsky,"бул. Трудящихся, 29, корп. 2",Не указано,+7 (911) 728-34-58,https://vk.com/id170347580,https://www.instagram.com/kaloud29/
250,Panorama Lounge,Kolpinsky,"Финляндская ул., 16, корп. 1",Не указано,+7 (812) 903-61-66,http://vk.com/panoramaklp,https://www.instagram.com/panoramaklp
251,ТОКИО-CITY,Kolpinsky,"2Б, корп. 3, посёлок Тельмана",Не указано,+7 (812) 602-08-02,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
252,Turka lounge,Kolpinsky,"Западный пр., 2Б, микрорайон Овцино, городской посёлок имени Свердлова",Не указано,+7 (981) 953-34-17,https://vk.com/turka_sverdlova,https://www.instagram.com/turka_sverdlova
253,B&B night club,Kolpinsky,"9, посёлок Тельмана",Не указано,+7 (911) 920-80-85,https://vk.com/bb_night_club,https://instagram.com/bb_night_club
254,Power Smoke,Kolpinsky,"Школьная ул., 16",Не указано,+7 (965) 766-56-66,https://vk.com/powersmokemetall,http://www.instagram.com/power_smoke_metallostroy
255,Формула Сити,Kolpinsky,"Тверская ул., 58/6",Не указано,+7 (812) 467-56-10,https://vk.com/formulacity,https://www.instagram.com/formulabar
256,Bon Pallet,Kolpinsky,"ул. Ленина, 16А, Отрадное",Не указано,+7 (921) 755-88-59,https://vk.com/bon_pallet,https://www.instagram.com/bon_pallet/
257,Smoke_Lounge_Oblacko,Kolpinsky,"Новгородский просп., 4",Купчино,+7 (911) 975-21-77,http://vk.com/smoke_lounge_oblacko,https://instagram.com/smoke_lounge_oblacko
258,Jellyfish,Kolpinsky,"Широкая ул., 18",Не указано,+7 (812) 679-99-27,https://vk.com/jellyfishpc,Не указано
259,Oblako Lounge,Kolpinsky,"Пулковское ш., 14, стр. 6",Звёздная,+7 (905) 255-99-88,Не указано,Не указано
260,Royal Smoke Zvezda,Kolpinsky,"ул. Ленсовета, 90",Звёздная,+7 (812) 929-32-00,https://vk.com/royalsmokespb,https://www.instagram.com/royalsmokespb/
261,Мнегусто Lounge,Kolpinsky,"Вишерская ул., 18",Купчино,+7 (964) 610-36-26,https://vk.com/mnegusto_lounge,https://www.instagram.com/mnegusto_lounge
262,The lost VIKING's,Kolpinsky,"Вилеровский пер., 6",Купчино,+7 (999) 044-86-22,http://vk.com/club146985982,https://www.instagram.com/bar_thelostvikings/
263,SmokeSpot Club,Kolpinsky,"ул. Олеко Дундича, 17, корп. 1",Купчино,+7 (812) 292-39-23,https://vk.com/smokespot,https://www.instagram.com/smokespot_spb
264,ТОКИО-CITY,Kolpinsky,"Прибрежная ул., 20",Рыбацкое,+7 (812) 622-14-08,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
265,Just karaoke Bar,Kolpinsky,"Шереметьевская ул., 15",Звёздная,+7 (812) 900-95-53,https://vk.com/justkaraokebar,https://www.instagram.com/justkaraokebar
266,Мистер Мастер,Kolpinsky,"Новгородский просп., 6",Купчино,+7 (969) 707-42-42,https://vk.com/56misterm,Не указано
267,Бонг,Kolpinsky,"просп. Маршала Жукова, 54, корп. 6",Проспект Ветеранов,+7 (921) 588-69-08,https://vk.com/bong_bar,https://www.instagram.com/bong.bar
268,Караоке Коммуналка,Kolpinsky,"Караваевская ул., 24, корп. 1",Рыбацкое,+7 (911) 746-35-26,https://vk.com/karaokekommunalka,Не указано
269,Loft,Kolpinsky,"Рыбацкий просп., 23/2",Рыбацкое,+7 (921) 777-99-13,https://vk.com/public178848703,https://www.instagram.com/loft_ribatskoe/
270,Game Shot,Kolpinsky,"ул. Бурцева, 23",Проспект Ветеранов,+7 (931) 257-28-08,https://vk.com/shot23,https://instagram.com/game_shot23
271,BAHROMA,Kolpinsky,"Балканская ул., 17",Купчино,+7 (812) 677-78-88,https://vk.com/club_bahroma,https://www.instagram.com/bahroma_ru/
272,ТОКИО-CITY,Kolpinsky,"Балканская площадь, 5В",Купчино,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
273,ТОКИО-CITY,Krasnoselsky,"ул. Доблести, 9",Не указано,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
274,Tangiers Lounge Pearl,Krasnoselsky,"ул. Катерников, 8",Не указано,+7 (911) 714-16-11,https://vk.com/tangierslounge,https://www.instagram.com/tangierslounge.pearl/
275,Galaxy-Games,Krasnoselsky,"ул. Маршала Казакова, 26",Проспект Ветеранов,+7 (958) 177-44-55,https://vk.com/spb_galaxy,http://instagram.com/spb_galaxy
276,Malina,Krasnoselsky,"Петергофское ш., 3, корп. 2",Проспект Ветеранов,+7 (952) 362-17-88,https://vk.com/malina_timecafe,https://instagram.com/malina_timecafe
277,Le Smoke,Krasnoselsky,"просп. Народного Ополчения, 10",Ленинский проспект,+7 (921) 433-70-40,https://vk.com/le_smoke,https://www.instagram.com/le_smoke
278,SmokeTime,Krasnoselsky,"Брестский бул., 8",Проспект Ветеранов,+7 (911) 777-31-00,http://vk.com/smoketime_cafe,Не указано
279,Full smoke lounge bar,Krasnoselsky,"просп. Ветеранов, 171, корп. 1",Не указано,Нет телефона,Не указано,Не указано
280,Game Shot,Krasnoselsky,"ул. Бурцева, 23",Проспект Ветеранов,+7 (931) 257-28-08,https://vk.com/shot23,https://instagram.com/game_shot23
281,Borgata lounge,Krasnoselsky,"ул. Катерников, 5, корп. 1",Не указано,+7 (999) 240-66-97,https://vk.com/borgata77777,Не указано
282,Бонг,Krasnoselsky,"просп. Маршала Жукова, 54, корп. 6",Проспект Ветеранов,+7 (921) 588-69-08,https://vk.com/bong_bar,https://www.instagram.com/bong.bar
283,No. 101 Bar & Lounge,Krasnoselsky,"просп. Народного Ополчения, 101",Проспект Ветеранов,Нет телефона,Не указано,https://instagram.com/no101bar
284,Безумный Лесник,Krasnoselsky,"Ленинский просп., 140",Ленинский проспект,+7 (812) 907-34-93,https://vk.com/bezumniy_lesnik2,https://www.instagram.com/bezumniy_lesnik
285,Мистер Мастер,Krasnoselsky,"Новгородский просп., 6",Купчино,+7 (969) 707-42-42,https://vk.com/56misterm,Не указано
286,Галактика,Krasnoselsky,"ул. Маршала Казакова, 1, корп. 1Г",Автово,+7 (911) 775-83-64,https://vk.com/lbgalaktika,https://www.instagram.com/LOUNGEBARGALAKTIKA
287,Jellyfish,Krasnoselsky,"Широкая ул., 18",Не указано,+7 (812) 679-99-27,https://vk.com/jellyfishpc,Не указано
288,Oblako Lounge,Krasnoselsky,"Пулковское ш., 14, стр. 6",Звёздная,+7 (905) 255-99-88,Не указано,Не указано
289,ФриДым,Krasnoselsky,"ул. Победы, 21, Московский район",Парк Победы,+7 (923) 888-47-85,Не указано,http://www.instagram.com/freedymofficial
290,ТОКИО-CITY,Krasnoselsky,"Дачный просп., 18",Проспект Ветеранов,+7 (812) 612-75-06,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
291,Smoke House Club,Krasnoselsky,"Малая Каштановая аллея, 9, корп. 1",Дунайская,+7 (981) 112-89-46,https://vk.com/shc_kupchino,http://instagram.com/smokehouseclub
292,Smoke_Lounge_Oblacko,Krasnoselsky,"Новгородский просп., 4",Купчино,+7 (911) 975-21-77,http://vk.com/smoke_lounge_oblacko,https://instagram.com/smoke_lounge_oblacko
293,Были тут,Krasnoselsky,"Оранжерейная ул., 15А",Не указано,+7 (812) 983-88-10,https://vk.com/bilitut,https://www.instagram.com/bili_tut
294,Мнегусто Lounge,Krasnoselsky,"Вишерская ул., 18",Купчино,+7 (964) 610-36-26,https://vk.com/mnegusto_lounge,https://www.instagram.com/mnegusto_lounge
295,Tangiers Lounge,Krasnoselsky,"ул. Гастелло, 22Б",Московская,+7 (981) 680-68-11,https://vk.com/tangierslounge,https://www.instagram.com/tangierslounge/
296,Eden Lounge Bar,Krasnoselsky,"Ленинский просп., 121, корп. 7",Ленинский проспект,+7 (931) 259-00-94,Не указано,https://www.instagram.com/baredenlounge/
297,ТОКИО-CITY,Krasnoselsky,"просп. Ветеранов, 114, корп. 1",Проспект Ветеранов,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
298,Xplace,Kalininsky,"Гжатская ул., 22, корп. 4",Академическая,+7 (911) 925-05-05,https://vk.com/xplace_na_akademke,https://instagram.com/xplaceakadem?igshid=1n8us3av5e5sz
299,Ковбой,Kalininsky,"просп. Металлистов, 99",Выборгская,+7 (905) 208-66-63,https://vk.com/club190412261,Не указано
300,ТОКИО-CITY,Kalininsky,"просп. Просвещения, 72",Гражданский проспект,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
301,Курилы 57,Kalininsky,"Россия, Санкт-Петербург, Калининский район, муниципальный округ Пискарёвка, жилой комплекс Кирилл и Дарья",Лесная,+7 (962) 686-75-72,https://vk.com/club190057251,https://www.instagram.com/kurily_57
302,Тише Мыши,Kalininsky,"ул. Ушинского, 3, корп. 3",Гражданский проспект,+7 (965) 004-43-33,http://vk.com/tiwemiwi,https://www.instagram.com/tiwemiwispb/
303,ХукаМан,Kalininsky,"Кондратьевский просп., 64, корп. 2",Выборгская,+7 (981) 846-73-35,https://vk.com/hookahman_spb,https://www.instagram.com/hookahmanspb/
304,Boroda brothers,Kalininsky,"просп. Маршала Блюхера, 7, корп. 1",Выборгская,+7 (812) 912-56-13,https://vk.com/borodabrothers,https://www.instagram.com/boroda_brothers/
305,Frisson,Kalininsky,"ул. Бутлерова, 11, корп. 3",Академическая,+7 (812) 926-66-71,https://vk.com/unityzone,http://instagram.com/unity_zone
306,Doctor Smoke,Kalininsky,"ул. Брянцева, 13, корп. 1",Гражданский проспект,+7 (981) 963-14-90,https://vk.com/drsmokespb,https://www.instagram.com/dr.smoke.spb
307,Турка,Kalininsky,"Гжатская ул., 22, корп. 3",Академическая,+7 (905) 225-44-33,https://vk.com/turkaacadem,https://instagram.com/turkaacadem
308,Void,Kalininsky,"Гражданский просп., 36",Академическая,Нет телефона,https://vk.com/voidcafespb,Не указано
309,Кальянная Mesa Bar,Kalininsky,"Гжатская ул., 22, корп. 1",Академическая,+7 (999) 025-35-62,https://vk.com/mesabar,https://www.instagram.com/mesa.bar
310,Belka Lounge Bar,Kalininsky,"ул. Даниила Хармса, 3, корп. 1",Девяткино,+7 (812) 642-08-02,Не указано,https://www.instagram.com/belka_lounge_bar/
311,Feromon na Grazhdanskom,Kalininsky,"Гражданский просп., 119",Гражданский проспект,+7 (812) 969-77-77,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
312,BerryWood,Kalininsky,"Кушелевская дорога, 3, корп. 2",Лесная,+7 (812) 909-57-86,https://vk.com/berrywoodrestobar,https://www.instagram.com/berrywood_restobar/
313,Брус Ли,Kalininsky,"просп. Маршала Блюхера, 9, корп. 3",Выборгская,+7 (812) 926-12-16,https://vk.com/brusleebar,https://www.instagram.com/brusleebar
314,Цоколь,Kalininsky,"Кантемировская ул., 27",Лесная,+7 (921) 910-23-59,https://vk.com/tsokolhookah,https://www.instagram.com/tsokol_hookah/
315,Hoocar Петровский Хукар,Kalininsky,"Петровский бул., 7, Мурино",Девяткино,8 (800) 301-10-24,https://vk.com/hoocarspb/,https://www.instagram.com/hoocar.spb/
316,Loft 51,Kalininsky,"просп. Энгельса, 126, корп. 1",Озерки,+7 (999) 031-45-81,https://vk.com/loft_51ozerki,https://www.instagram.com/loft.51
317,WishWood,Kalininsky,"Гжатская ул., 22, корп. 1",Академическая,+7 (812) 942-32-16,https://vk.com/wishwood,https://www.instagram.com/wishwood_bar
318,ТОКИО-CITY,Kalininsky,"просп. Науки, 23",Академическая,+7 (812) 677-10-05,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
319,Garden Lounge,Kalininsky,"ул. Аккуратова, 13",Удельная,+7 (931) 009-28-14,https://vk.com/loungegarden,https://www.instagram.com/garden_lounge_spb/
320,ILOUNGE,Kalininsky,"Большой Сампсониевский просп., 85",Лесная,+7 (911) 921-04-14,http://vk.com/iloungebar,Не указано
321,Juicy Smoke,Kalininsky,"просп. Луначарского, 15, корп. 1",Озерки,+7 (812) 386-20-91,http://vk.com/juicysmokespb,http://instagram.com/juicysmokespb
322,Бар-клуб Малина,Kalininsky,"Гражданский просп., 84",Академическая,+7 (999) 029-81-14,https://vk.com/malinabarspb,https://www.instagram.com/malinabarspb
323,ФриДым,Moskovsky,"ул. Победы, 21, Московский район",Парк Победы,+7 (923) 888-47-85,Не указано,http://www.instagram.com/freedymofficial
324,Nuahule Electro,Moskovsky,"Московский просп., 139, корп. 2",Электросила,+7 (812) 920-39-39,Не указано,https://www.instagram.com/nuahule_electro/
325,Мир Кальянов,Moskovsky,"Московский просп., 168, корп. 2",Электросила,+7 (812) 985-01-30,https://vk.com/kalyanovmir,https://www.instagram.com/alkalyans
326,Feromon Lounge Cafe,Moskovsky,"ул. Типанова, 7",Московская,+7 (812) 912-00-98,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
327,4boss Lounge Bar,Moskovsky,"ул. Типанова, 40",Проспект Славы,+7 (812) 209-17-19,https://vk.com/4boss_lounge,Не указано
328,Red 2 Lounge,Moskovsky,"Варшавская ул., 6, корп. 1",Электросила,+7 (923) 888-49-84,https://vk.com/red2lounge,https://www.instagram.com/red2lounge/
329,Feromon Amsterdam Bar,Moskovsky,"Московский просп., 173",Парк Победы,+7 (812) 907-00-98,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
330,Le Smoke,Moskovsky,"просп. Народного Ополчения, 10",Ленинский проспект,+7 (921) 433-70-40,https://vk.com/le_smoke,https://www.instagram.com/le_smoke
