,Название,Район,Адрес,Метро,Телефон,Вконтакте,Инстаграм
37,Shanti lounge bar,Center,"Гороховая ул., 45Б",Сенная площадь,+7 (812) 929-39-59,Не указано,https://www.instagram.com/shanti_lbar/
38,Либерти,Center,"ул. Маяковского, 27",Чернышевская,+7 (921) 373-33-13,https://vk.com/uhpfamily,Не указано
39,Чайный погреб,Center,"ул. Чайковского, 34",Чернышевская,+7 (921) 849-13-18,http://vk.com/cha_pogreb,Не указано
40,Diskette Lounge,Center,"Апраксин пер., 2",Сенная площадь,+7 (812) 981-04-58,https://vk.com/diskettelounge,https://www.instagram.com/diskettelounge
41,Mya Lounge,Center,"8-я Советская ул., 4",Площадь Восстания,+7 (812) 922-05-44,Не указано,https://www.instagram.com/mya_lounge/
42,Lapa Smoke Lounge,Center,"Пушкинская ул., 5",Маяковская,+7 (931) 372-13-59,https://vk.com/lapasmoke,https://www.instagram.com/lapasmokelounge/
43,Дымоход,Center,"Гончарная ул., 7",Площадь Восстания,+7 (812) 507-83-93,https://vk.com/public172338334,https://instagram.com/dymohod7
44,Hookah Time SPb,Center,"просп. Чернышевского, 10",Чернышевская,+7 (921) 935-25-35,Не указано,https://www.instagram.com/sunskrit_spb
45,Бар Лаборатория 31,Center,"ул. Марата, 35",Владимирская,+7 (911) 775-73-73,https://vk.com/laborbar31,http://instagram.com/laborbar31
46,Гостиная,Center,"Литейный просп., 35",Чернышевская,+7 (911) 705-55-74,http://vk.com/gostinayaofficial,http://www.instagram.com/gostinaya_kalyannya
47,Кальян-бар,Center,"ул. Короленко, 14",Чернышевская,+7 (812) 273-59-06,Не указано,https://www.instagram.com/kaliyan_bar_spb/
48,Look Lounge bar,Center,"Большая Конюшенная ул., 29",Гостиный двор,+7 (911) 926-90-20,https://vk.com/looklounge,https://www.instagram.com/looklounge
49,Castle Lounge Castle,Center,"4-я Советская ул., 8",Площадь Восстания,+7 (999) 024-64-31,https://vk.com/castle_spb,https://www.instagram.com/castle_spb
50,ТОКИО-CITY,Petrodvorets,"Санкт-Петербургское ш., 101Б",Не указано,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
51,ТОКИО-CITY,Petrodvorets,"Санкт-Петербургский просп., 2",Не указано,+7 (812) 245-14-25,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
52,Шашлычный Дворик,Petrodvorets,"Торговая площадь, 8В",Не указано,+7 (965) 047-62-76,https://vk.com/peterhofgrill,https://instagram.com/grillpeterhof?r=nametag
53,Хмель и Никотин,Petrodvorets,"Львовская ул., 29",Не указано,+7 (911) 297-70-07,https://vk.com/nicotin_strelna,https://www.instagram.com/strelnasmoke
54,Funny Family,Petrodvorets,"Разводная ул., 7, корп. 1",Не указано,+7 (812) 981-27-10,https://vk.com/familypeterhof,https://www.instagram.com/rafamily_spb
55,Чайхана Чабрец,Petrodvorets,"Морской пер., 1",Не указано,+7 (812) 328-40-40,https://vk.com/restoran_chabrez,https://www.instagram.com/chaikhana_chabrez/
56,ТОКИО-CITY,Vasileoostrovsky,"Средний просп. Васильевского острова, 34",Василеостровская,+7 (812) 622-15-10,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
57,ТОКИО-CITY,Vasileoostrovsky,"ул. Нахимова, 26",Приморская,+7 (812) 602-09-30,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
58,Root Lounge,Vasileoostrovsky,"Большой просп. Васильевского острова, 38",Василеостровская,+7 (965) 756-75-75,https://vk.com/spb_root_lounge,http://www.instagram.com/root_lounge
59,Hookah Zone,Vasileoostrovsky,"1-я линия Васильевского острова, 32",Спортивная,+7 (931) 268-15-95,Не указано,Не указано
60,Salat Lounge,Vasileoostrovsky,"14-я линия Васильевского острова, 67-69",Василеостровская,+7 (929) 103-17-15,http://vk.com/salat_spb,https://www.instagram.com/salatclub/
61,Feromon Primorskaya,Vasileoostrovsky,"ул. Кораблестроителей, 30",Приморская,+7 (812) 934-44-44,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
62,Сэлфи,Vasileoostrovsky,"18-я линия Васильевского острова, 13",Василеостровская,+7 (812) 948-34-18,https://vk.com/club164447509,https://instagram.com/selfiebar_official
63,Омар Хайям,Vasileoostrovsky,"6-я линия Васильевского острова, 29",Василеостровская,+7 (812) 997-79-00,https://vk.com/omarhayam_spb,https://www.instagram.com/kalyan_club
64,Smoke Screen,Vasileoostrovsky,"Опочинина ул., 6",Приморская,Нет телефона,https://vk.com/smoke.screen,Не указано
65,Шишка,Vasileoostrovsky,"6-я линия Васильевского острова, 55",Василеостровская,+7 (931) 960-00-39,https://vk.com/barshishka,https://www.instagram.com/shishka_lounge_
66,P. S. Lounge bar,Vasileoostrovsky,"Невский просп., 81",Площадь Восстания,+7 (812) 241-17-52,https://vk.com/lounge_ps,https://www.instagram.com/lounge_ps
67,Ris Rыба Lounge,Vasileoostrovsky,"ул. Беринга, 1",Василеостровская,+7 (921) 656-51-59,http://vk.com/rislounge,http://instagram.com/rislounge
68,Royal Smoke,Vasileoostrovsky,"наб. канала Грибоедова, 22",Невский проспект,+7 (911) 929-97-00,http://vk.com/royalsmokespb,http://www.instagram.com/royalsmokespb
69,LoungeRoom,Vasileoostrovsky,"Садовая ул., 7-9-11",Гостиный двор,+7 (923) 888-49-18,https://vk.com/loungeroom_spb,https://www.instagram.com/loungeroom_spb/
70,Бар Лаборатория 31,Vasileoostrovsky,"Гороховая ул., 31",Сенная площадь,+7 (981) 737-35-55,https://vk.com/laborbar31,https://www.instagram.com/laborbar31
71,Shanti lounge bar,Vasileoostrovsky,"Гороховая ул., 45Б",Сенная площадь,+7 (812) 929-39-59,Не указано,https://www.instagram.com/shanti_lbar/
72,Feromon 5 uglov,Vasileoostrovsky,"ул. Ломоносова, 18, Центральный район",Достоевская,+7 (812) 907-07-95,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
73,Фрагмент,Vasileoostrovsky,"ул. Кораблестроителей, 30, корп. 5",Приморская,+7 (969) 729-99-86,https://vk.com/fragment_spb,https://www.instagram.com/fragmentlounge/
74,Кибер World,Vasileoostrovsky,"ул. Беринга, 5",Приморская,+7 (812) 701-08-38,https://vk.com/kworld,https://www.instagram.com/kiberworld
75,P. S. Lounge bar,Vasileoostrovsky,"ул. Правды, 9/10",Звенигородская,+7 (812) 241-17-53,https://vk.com/ps_pravdi,https://www.instagram.com/ps_pravdi/
76,HookahPlace Литейный,Vasileoostrovsky,"Литейный просп., 28",Чернышевская,+7 (931) 000-99-99,https://vk.com/hookahplaceliteyniy,https://www.instagram.com/hp_liteyniy
77,Я люблю… La panorama,Vasileoostrovsky,"26-я линия Васильевского острова, 15, корп. 2",Василеостровская,+7 (931) 257-84-11,https://vk.com/iloverestaurant,https://www.instagram.com/iloverestaurant
